Route_name,Route_link
Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
Kozhikode to Bangalore,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore
Ernakulam to Kozhikode,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode
Mysore to Kozhikode,https://www.redbus.in/bus-tickets/mysore-to-kozhikode
Kozhikode to Mysore,https://www.redbus.in/bus-tickets/kozhikode-to-mysore
Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
Kozhikode to Thiruvananthapuram,https://www.redbus.in/bus-tickets/kozhikode-to-thiruvananthapuram
Kozhikode to Kottayam,https://www.redbus.in/bus-tickets/kozhikode-to-kottayam
Thrissur to Kozhikode,https://www.redbus.in/bus-tickets/thrissur-to-kozhikode
Bangalore to Kalpetta (kerala),https://www.redbus.in/bus-tickets/bangalore-to-kalpetta
Bangalore to Kannur (Kerala),https://www.redbus.in/bus-tickets/bangalore-to-kannur
Kalpetta (kerala) to Bangalore,https://www.redbus.in/bus-tickets/kalpetta-to-bangalore
Kottayam to Kozhikode,https://www.redbus.in/bus-tickets/kottayam-to-kozhikode
Thiruvananthapuram to Kozhikode,https://www.redbus.in/bus-tickets/thiruvananthapuram-to-kozhikode
Kannur (Kerala) to Bangalore,https://www.redbus.in/bus-tickets/kannur-to-bangalore
Kozhikode to Aluva,https://www.redbus.in/bus-tickets/kozhikode-to-aluva
