Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_name,Route_link
Assam State Transport Corporation (ASTC) - 147480,Bharat Benz A/C Seater (2+2),05:00,09:00,04h 00m,270,11 Seats available,"3.6
344",Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati
Assam State Transport Corporation (ASTC) - 135927,Volvo AC Seater 2+2,07:10,11:40,04h 30m,298,20 Seats available,"4.2
317",Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati
Assam State Transport Corporation (ASTC) - 173420,Bharat Benz A/C Seater (2+2),10:35,15:15,04h 40m,298,2 Seats available,"4.2
77",Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati
Assam State Transport Corporation (ASTC) - 176210,Tata A/C Seater (2+2),16:15,20:30,04h 15m,298,25 Seats available,4.0,Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati
NEELKANTH TRAVELS,A/C Seater Push Back (2+2),05:15,08:30,03h 15m,300,30 Seats available,"4.3
189",Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati
Kanchan Travels,AC Seater (2+2),05:20,08:30,03h 10m,277,34 Seats available,"3.9
53",Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati
Mahi Travels(Under ASTC),A/C Seater (2+2),05:40,08:55,03h 15m,357,24 Seats available,"4.6
350",Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati
WARISPIYA TRAVELS,AC Seater (2+2),05:45,09:00,03h 15m,360,29 Seats available,"4.3
331",Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati
Orient Transline,A/C Seater (2+1),05:55,09:00,03h 05m,361.9,26 Seats available,"4.5
86",Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati
Puja (Kaybom),A/C Seater Push Back (2+2),06:10,10:00,03h 50m,314,40 Seats available,"3.3
15",Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati
Aziba Travels,NON A/C Seater (2+1),09:45,14:10,04h 25m,347,11 Seats available,"3.4
4",Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati
