Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_name,Route_link
Bihar state road transport corporation (BSRTC) - 142944,Non AC Seater (2+2),06:00,11:00,05h 00m,285,31 Seats available,"3.6
137",Patna (Bihar) to Bettiah,https://www.redbus.in/bus-tickets/patna-to-bettiah
Bihar state road transport corporation (BSRTC) - 147264,AC Seater (2+2),06:30,12:35,06h 05m,331,23 Seats available,"3.3
159",Patna (Bihar) to Bettiah,https://www.redbus.in/bus-tickets/patna-to-bettiah
Bihar state road transport corporation (BSRTC) - 146158,Non AC Seater (2+2),09:00,15:00,06h 00m,285,31 Seats available,"3.3
30",Patna (Bihar) to Bettiah,https://www.redbus.in/bus-tickets/patna-to-bettiah
Jai Mata Di,AC Seater (2+2),05:40,12:05,06h 25m,450,41 Seats available,3.7,Patna (Bihar) to Bettiah,https://www.redbus.in/bus-tickets/patna-to-bettiah
Jai Mata Di,AC Seater (2+2),05:43,12:00,06h 17m,450,41 Seats available,"3.7
2",Patna (Bihar) to Bettiah,https://www.redbus.in/bus-tickets/patna-to-bettiah
Jai Mata Di,AC Seater (2+2),05:45,11:50,06h 05m,450,41 Seats available,3.7,Patna (Bihar) to Bettiah,https://www.redbus.in/bus-tickets/patna-to-bettiah
Jai Mata Di,AC Seater (2+2),05:47,12:03,06h 16m,450,41 Seats available,3.7,Patna (Bihar) to Bettiah,https://www.redbus.in/bus-tickets/patna-to-bettiah
Jai Hanuman Travels,A/C Seater / Sleeper (2+2),22:20,05:00,06h 40m,550,54 Seats available,"3.6
47",Patna (Bihar) to Bettiah,https://www.redbus.in/bus-tickets/patna-to-bettiah
Jai Mata Di Tour and Travels,A/C Seater / Sleeper (2+2),22:40,04:00,05h 20m,405,28 Seats available,"3.4
21",Patna (Bihar) to Bettiah,https://www.redbus.in/bus-tickets/patna-to-bettiah
Saurabh Travels,A/C Seater Push Back (2+2),07:00,12:30,05h 30m,450,42 Seats available,1.0,Patna (Bihar) to Bettiah,https://www.redbus.in/bus-tickets/patna-to-bettiah
