Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_name,Route_link
Chandigarh Transport Undertaking (CTU) - 165681,HVAC Seater (2+3),07:00,12:35,05h 35m,414.3,45 Seats available,"4.3
67",Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi
Chandigarh Transport Undertaking (CTU) - 165684,HVAC Seater (2+3),07:55,13:30,05h 35m,414.3,45 Seats available,"3.8
25",Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi
Chandigarh Transport Undertaking (CTU) - 165687,HVAC Seater (2+3),08:25,14:00,05h 35m,414.3,47 Seats available,"4.2
36",Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi
Chandigarh Transport Undertaking (CTU) - 165676,HVAC Seater (2+3),09:25,15:00,05h 35m,414.3,45 Seats available,"4.4
39",Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi
Chandigarh Transport Undertaking (CTU) - 165689,HVAC Seater (2+3),10:30,16:05,05h 35m,414.3,47 Seats available,"4.0
44",Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi
Chandigarh Transport Undertaking (CTU) - 165691,HVAC Seater (2+3),11:20,16:55,05h 35m,414.3,44 Seats available,"3.8
52",Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi
Chandigarh Transport Undertaking (CTU) - 165693,HVAC Seater (2+3),12:30,18:05,05h 35m,414.3,39 Seats available,"3.9
65",Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi
Chandigarh Transport Undertaking (CTU) - 165697,HVAC Seater (2+3),14:00,19:35,05h 35m,414.3,46 Seats available,"3.3
54",Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi
Chandigarh Transport Undertaking (CTU) - 165709,HVAC Seater (2+3),14:30,20:05,05h 35m,414.3,46 Seats available,"3.9
41",Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi
Chandigarh Transport Undertaking (CTU) - 165720,HVAC Seater (2+3),15:30,21:05,05h 35m,414.3,47 Seats available,"3.7
47",Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi
Zingbus Plus,Volvo A/C Semi Sleeper (2+2),00:15,05:20,05h 05m,270,8 Seats available,"4.6
327",Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi
Himalayan Nomad Ktc,Volvo A/C Semi Sleeper (2+2),00:30,05:20,04h 50m,744,17 Seats available,3.8,Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi
Laxmi holidays,Volvo 9600 A/C Semi Sleeper (2+2),00:30,04:45,04h 15m,499,4 Seats available,"4.5
71",Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi
Raghukul Holidays,Volvo A/C Semi Sleeper (2+2),00:50,05:00,04h 10m,584,3 Seats available,3.7,Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi
Zingbus Plus,Volvo A/C Semi Sleeper (2+2),00:55,05:50,04h 55m,270,7 Seats available,"4.4
67",Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi
Zimindara Travels,AC Sleeper (2+1),20:30,23:15,02h 45m,899,18 Seats available,4.1,Yamuna Nagar to Chandigarh,https://www.redbus.in/bus-tickets/yamuna-nagar-to-chandigarh
