Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_name,Route_link
HRTC - 69,Himsuta AC Seater Volvo/Scania 2+2,00:40,09:30,08h 50m,912,25 Seats available,"4.6
61",Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
HRTC - 2100720,Ordinary 3+2 Non AC Seater,05:00,14:50,09h 50m,512,35 Seats available,4.1,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
HRTC - 6,Himsuta AC Seater Volvo/Scania 2+2,06:45,16:10,09h 25m,912,24 Seats available,"4.7
55",Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
HRTC - 592,A/C Executive (2+3),08:05,18:10,10h 05m,632,39 Seats available,"3.7
15",Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
HRTC - 129,Ordinary 3+2 Non AC Seater,08:50,18:40,09h 50m,512,37 Seats available,"3.8
5",Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
HRTC - 7,Himsuta AC Seater Volvo/Scania 2+2,09:25,18:30,09h 05m,912,16 Seats available,"4.3
86",Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
HRTC - 657,Ordinary 3+2 Non AC Seater,11:00,22:00,11h 00m,512,33 Seats available,"2.7
7",Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
HRTC - 515,Ordinary 3+2 Non AC Seater,12:30,22:50,10h 20m,512,37 Seats available,"4.5
4",Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
HRTC - 551,A/C Executive (2+3),15:30,01:30,10h 00m,632,42 Seats available,"3.5
9",Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
HRTC - 525,Ordinary 3+2 Non AC Seater,16:50,03:00,10h 10m,512,26 Seats available,4.1,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
HRTC - 532,Ordinary 3+2 Non AC Seater,17:59,04:15,10h 16m,512,27 Seats available,"1.5
4",Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
HRTC - 93,Himsuta AC Seater Volvo/Scania 2+2,19:35,04:45,09h 10m,912,6 Seats available,"4.5
41",Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
HRTC - 301,Ordinary 3+2 Non AC Seater,19:43,05:30,09h 47m,512,27 Seats available,"4.5
4",Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
HRTC - 556,Ordinary 3+2 Non AC Seater,20:10,05:45,09h 35m,512,27 Seats available,"4.5
9",Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
HRTC - 591,A/C Executive (2+3),21:00,07:20,10h 20m,632,42 Seats available,"3.0
43",Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
RSRTC - 192344,Super Luxury Volvo AC Seater Pushback 2+2,03:00,14:00,11h 00m,1117,28 Seats available,3.6,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
Himachal Pradesh Tourism Development Corporation (HPTDC) - 145607,AC Seater (2+2),21:00,06:00,09h 00m,1000,33 Seats available,4.6,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
Bedi Travels,Volvo A/C Semi Sleeper (2+2),23:00,08:00,09h 00m,450,18 Seats available,"4.8
956",Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
Zingbus Plus,Bharat Benz A/C Semi Sleeper (2+2),22:35,08:10,09h 35m,483,29 Seats available,"4.6
493",Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
Laxmi holidays,Scania Multi-Axle AC Semi Sleeper (2+2),23:30,08:00,08h 30m,664,18 Seats available,"4.5
811",Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
HRTC - 566,Ordinary 3+2 Non AC Seater,02:20,07:30,05h 10m,334,24 Seats available,3.9,Chandigarh to Hamirpur (Himachal Pradesh),https://www.redbus.in/bus-tickets/chandigarh-to-hamirpur-himachal-pradesh
HRTC - 401669,Ordinary 3+2 Non AC Seater,10:35,14:40,04h 05m,310,30 Seats available,"3.5
24",Chandigarh to Hamirpur (Himachal Pradesh),https://www.redbus.in/bus-tickets/chandigarh-to-hamirpur-himachal-pradesh
HRTC - 9236,A/C Executive (2+3),12:05,16:10,04h 05m,340,34 Seats available,"4.3
176",Chandigarh to Hamirpur (Himachal Pradesh),https://www.redbus.in/bus-tickets/chandigarh-to-hamirpur-himachal-pradesh
HRTC - 1515,Ordinary 3+2 Non AC Seater,13:20,20:15,06h 55m,373,37 Seats available,"3.3
7",Chandigarh to Hamirpur (Himachal Pradesh),https://www.redbus.in/bus-tickets/chandigarh-to-hamirpur-himachal-pradesh
HRTC - 1529,Ordinary 3+2 Non AC Seater,13:56,19:05,05h 09m,364,37 Seats available,"4.1
8",Chandigarh to Hamirpur (Himachal Pradesh),https://www.redbus.in/bus-tickets/chandigarh-to-hamirpur-himachal-pradesh
HRTC - 1516,A/C Executive (2+3),15:00,18:50,03h 50m,340,41 Seats available,"4.1
131",Chandigarh to Hamirpur (Himachal Pradesh),https://www.redbus.in/bus-tickets/chandigarh-to-hamirpur-himachal-pradesh
HRTC - 1468,Ordinary 3+2 Non AC Seater,15:30,21:20,05h 50m,302,37 Seats available,3.9,Chandigarh to Hamirpur (Himachal Pradesh),https://www.redbus.in/bus-tickets/chandigarh-to-hamirpur-himachal-pradesh
HRTC - 1546,Ordinary 3+2 Non AC Seater,16:25,21:15,04h 50m,334,27 Seats available,"2.5
6",Chandigarh to Hamirpur (Himachal Pradesh),https://www.redbus.in/bus-tickets/chandigarh-to-hamirpur-himachal-pradesh
HRTC - 9235,A/C Executive (2+3),16:40,22:00,05h 20m,399,44 Seats available,"4.7
15",Chandigarh to Hamirpur (Himachal Pradesh),https://www.redbus.in/bus-tickets/chandigarh-to-hamirpur-himachal-pradesh
HRTC - 401670,Ordinary 3+2 Non AC Seater,18:00,22:00,04h 00m,310,36 Seats available,"3.0
27",Chandigarh to Hamirpur (Himachal Pradesh),https://www.redbus.in/bus-tickets/chandigarh-to-hamirpur-himachal-pradesh
HRTC - 1549,Ordinary 3+2 Non AC Seater,18:15,01:00,06h 45m,362,37 Seats available,3.9,Chandigarh to Hamirpur (Himachal Pradesh),https://www.redbus.in/bus-tickets/chandigarh-to-hamirpur-himachal-pradesh
Himalayan Nomad Ktc,Volvo A/C Semi Sleeper (2+2),01:25,05:05,03h 40m,700,19 Seats available,3.8,Chandigarh to Hamirpur (Himachal Pradesh),https://www.redbus.in/bus-tickets/chandigarh-to-hamirpur-himachal-pradesh
