Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_name,Route_link
MMK Travels,A/C Seater / Sleeper (2+1),22:30,07:30,09h 00m,750,24 Seats available,"4.6
556",Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
P K Travels,A/C Seater / Sleeper (2+1),21:30,06:00,08h 30m,684,23 Seats available,"4.2
62",Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
P K Travels,A/C Sleeper (2+1),18:45,06:30,11h 45m,810,24 Seats available,"4.1
110",Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
AdSAAM BUS,VE A/C Sleeper (2+1),21:45,06:45,09h 00m,786,17 Seats available,"4.1
289",Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
NS Transports,Non A/C Seater / Sleeper (2+1),21:45,06:10,08h 25m,699,19 Seats available,"4.2
276",Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
Silver Line Travels,Non A/C Seater / Sleeper (2+1),22:15,06:45,08h 30m,750,32 Seats available,4.3,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
SKS Tours & Travels,A/C Sleeper (2+1),21:15,05:45,08h 30m,799,14 Seats available,"4.4
101",Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
AdFAST LINE BUS,A/C Sleeper (2+1),21:15,06:15,09h 00m,2429,34 Seats available,"4.1
42",Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
DA Transports,A/C Sleeper (2+1),21:45,06:55,09h 10m,700,25 Seats available,"4.0
243",Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
NS Transports,Non A/C Seater / Sleeper (2+1),22:15,06:30,08h 15m,699,17 Seats available,"4.3
123",Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
A1 Travels,A/C Seater / Sleeper (2+1),20:05,23:59,03h 54m,555,20 Seats available,"3.3
144",Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
A1 Travels,NON A/C Semi Sleeper (2+2),21:00,01:30,04h 30m,450,24 Seats available,"4.0
45",Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
BLM Transports,A/C Sleeper (2+1),22:00,02:45,04h 45m,855,10 Seats available,"3.5
7",Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
A1 Travels,Bharat Benz A/C Seater /Sleeper (2+1),22:30,01:29,02h 59m,700,30 Seats available,"3.3
32",Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
,,,,,,,,Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
MMK Travels,A/C Seater / Sleeper (2+1),21:30,06:00,08h 30m,900,12 Seats available,"4.4
573",Kozhikode to Bangalore,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore
National travels and logistics,A/C Sleeper (2+1),21:00,06:15,09h 15m,749,6 Seats available,"4.5
63",Kozhikode to Bangalore,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore
P K Travels,A/C Sleeper (2+1),20:00,06:00,10h 00m,1100,12 Seats available,"4.1
219",Kozhikode to Bangalore,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore
AdSAAM BUS,VE A/C Sleeper (2+1),20:30,06:15,09h 45m,833,9 Seats available,"4.3
229",Kozhikode to Bangalore,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore
,,,,,,,,Kozhikode to Bangalore,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore
Ubc travels,A/C Seater/Sleeper (2+1),20:45,03:00,06h 15m,900,19 Seats available,"3.5
5",Ernakulam to Kozhikode,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode
Holy Maria Travels,A/C Semi Sleeper (2+2),20:50,02:10,05h 20m,700,6 Seats available,3.7,Ernakulam to Kozhikode,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode
Kalpaka Travels 1,A/C Sleeper (2+1),20:55,02:30,05h 35m,800,20 Seats available,"4.5
25",Ernakulam to Kozhikode,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode
Adrin Travels,A/C Seater/Sleeper (2+1),21:00,02:00,05h 00m,699,19 Seats available,"4.8
12",Ernakulam to Kozhikode,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode
,,,,,,,,Ernakulam to Kozhikode,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode
KSRTC (Kerala) - 1193,Super Fast Non AC Seater (2+3),15:45,21:35,05h 50m,285,41 Seats available,"4.6
16",Mysore to Kozhikode,https://www.redbus.in/bus-tickets/mysore-to-kozhikode
KSRTC (Kerala) - 712,Super Fast Non AC Seater (2+3),16:45,22:30,05h 45m,285,50 Seats available,"3.4
11",Mysore to Kozhikode,https://www.redbus.in/bus-tickets/mysore-to-kozhikode
KSRTC (Kerala) - 129,SWIFT-GARUDA A/C SEATER BUS,16:50,23:05,06h 15m,391,22 Seats available,"4.1
9",Mysore to Kozhikode,https://www.redbus.in/bus-tickets/mysore-to-kozhikode
KSRTC (Kerala) - 798,Super Fast Non AC Seater (2+3),17:00,23:00,06h 00m,285,49 Seats available,"4.5
4",Mysore to Kozhikode,https://www.redbus.in/bus-tickets/mysore-to-kozhikode
KSRTC (Kerala) - 235,Swift Deluxe Non AC Air Bus (2+2),17:35,01:00,07h 25m,398,19 Seats available,4.1,Mysore to Kozhikode,https://www.redbus.in/bus-tickets/mysore-to-kozhikode
KSRTC (Kerala) - 370,AC MULTI AXLE,17:45,23:45,06h 00m,494,11 Seats available,"3.5
8",Mysore to Kozhikode,https://www.redbus.in/bus-tickets/mysore-to-kozhikode
KSRTC (Kerala) - 793,Super Fast Non AC Seater (2+3),18:30,00:00,05h 30m,285,48 Seats available,"3.4
12",Mysore to Kozhikode,https://www.redbus.in/bus-tickets/mysore-to-kozhikode
KSRTC (Kerala) - 97,Swift Deluxe Non AC Air Bus (2+2),18:35,00:45,06h 10m,356,17 Seats available,"5.0
4",Mysore to Kozhikode,https://www.redbus.in/bus-tickets/mysore-to-kozhikode
KSRTC (Kerala) - 380,Swift Deluxe Non AC Air Bus (2+2),18:50,01:00,06h 10m,356,4 Seats available,4.1,Mysore to Kozhikode,https://www.redbus.in/bus-tickets/mysore-to-kozhikode
KSRTC (Kerala) - 553,Super Express Non AC Seater Air Bus (2+2),19:20,02:15,06h 55m,419,4 Seats available,4.1,Mysore to Kozhikode,https://www.redbus.in/bus-tickets/mysore-to-kozhikode
KSRTC (Kerala) - 51,Swift Deluxe Non AC Air Bus (2+2),21:35,04:30,06h 55m,419,34 Seats available,"3.5
21",Mysore to Kozhikode,https://www.redbus.in/bus-tickets/mysore-to-kozhikode
KSRTC (Kerala) - 1077,Super Fast Non AC Seater (2+3),22:30,05:50,07h 20m,319,31 Seats available,"3.6
30",Mysore to Kozhikode,https://www.redbus.in/bus-tickets/mysore-to-kozhikode
