Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_name,Route_link
RSRTC - 189473,NON AC Seater / Sleeper 2+1,00:45,04:30,03h 45m,282,29 Seats available,3.6,Beawar (Rajasthan) to Jaipur (Rajasthan),https://www.redbus.in/bus-tickets/beawer-to-jaipur
RSRTC - 179810,NON AC Seater / Sleeper 2+1,00:45,04:45,04h 00m,282,16 Seats available,3.6,Beawar (Rajasthan) to Jaipur (Rajasthan),https://www.redbus.in/bus-tickets/beawer-to-jaipur
RSRTC - 193312,A/C Seater / Sleeper (2+1),01:15,05:00,03h 45m,413,17 Seats available,3.6,Beawar (Rajasthan) to Jaipur (Rajasthan),https://www.redbus.in/bus-tickets/beawer-to-jaipur
RSRTC - 192299,Super Luxury Volvo AC Seater Pushback 2+2,01:45,05:30,03h 45m,424,37 Seats available,"4.7
7",Beawar (Rajasthan) to Jaipur (Rajasthan),https://www.redbus.in/bus-tickets/beawer-to-jaipur
RSRTC - 189583,NON AC Seater / Sleeper 2+1,02:45,06:30,03h 45m,282,37 Seats available,3.6,Beawar (Rajasthan) to Jaipur (Rajasthan),https://www.redbus.in/bus-tickets/beawer-to-jaipur
RSRTC - 173716,NON AC Seater / Sleeper 2+1,03:45,08:00,04h 15m,282,37 Seats available,3.6,Beawar (Rajasthan) to Jaipur (Rajasthan),https://www.redbus.in/bus-tickets/beawer-to-jaipur
RSRTC - 142792,Express Non AC Seater 2+3,05:40,10:45,05h 05m,211,42 Seats available,3.6,Beawar (Rajasthan) to Jaipur (Rajasthan),https://www.redbus.in/bus-tickets/beawer-to-jaipur
RSRTC - 193773,Express Non AC Seater 2+3,07:20,11:40,04h 20m,211,42 Seats available,3.6,Beawar (Rajasthan) to Jaipur (Rajasthan),https://www.redbus.in/bus-tickets/beawer-to-jaipur
RSRTC - 193662,Express Non AC Seater 2+3,07:55,12:20,04h 25m,211,42 Seats available,3.6,Beawar (Rajasthan) to Jaipur (Rajasthan),https://www.redbus.in/bus-tickets/beawer-to-jaipur
RSRTC - 194993,Deluxe AC Seater 2+2,08:30,13:00,04h 30m,371,32 Seats available,3.6,Beawar (Rajasthan) to Jaipur (Rajasthan),https://www.redbus.in/bus-tickets/beawer-to-jaipur
RSRTC - 193667,Express Non AC Seater 2+3,09:05,13:30,04h 25m,211,42 Seats available,3.6,Beawar (Rajasthan) to Jaipur (Rajasthan),https://www.redbus.in/bus-tickets/beawer-to-jaipur
RSRTC - 146314,Super Luxury Volvo AC Seater Pushback 2+2,09:15,12:30,03h 15m,424,13 Seats available,"3.4
36",Beawar (Rajasthan) to Jaipur (Rajasthan),https://www.redbus.in/bus-tickets/beawer-to-jaipur
