Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_name,Route_link
Bharathi Tours & Travels,A/C Sleeper (2+1),00:50,05:30,04h 40m,590,1 Seat available,4.5,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
Sri Tulasi Tours and Travels,A/C Sleeper (2+1),01:00,04:30,03h 30m,599,4 Seats available,3.6,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
Sri Rama Travels,A/C Seater / Sleeper (2+1),01:30,06:45,05h 15m,777,2 Seats available,"4.1
4",Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
Mahadevv travels,Non A/C Seater / Sleeper (2+1),02:20,05:30,03h 10m,499,2 Seats available,3.4,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
Bharathi Tours & Travels,Non A/C Seater / Sleeper (2+1),23:40,04:00,04h 20m,711,27 Seats available,"4.5
12",Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
Sri KVR Travels,Non A/C Seater / Sleeper (2+1),23:40,05:00,05h 20m,680,24 Seats available,"3.1
12",Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
BSR Tours And Travels,NON A/C Seater (2+2),23:40,06:00,06h 20m,610,31 Seats available,"4.5
23",Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
Sri Venkateswara Travels,A/C Semi Sleeper (2+2),23:45,05:20,05h 35m,850,32 Seats available,3.5,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
BSR Tours And Travels,A/C Seater / Sleeper (2+1),23:59,06:00,06h 01m,780,13 Seats available,"4.7
17",Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
Sri Venkateswara Travels,Non A/C Seater / Sleeper (2+1),23:45,06:00,06h 15m,650,20 Seats available,"3.4
9",Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
APSRTC - 35188,VENNELA (A.C. SLEEPER),00:40,06:25,05h 45m,781,21 Seats available,"4.9
6",Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada
APSRTC - 3563,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",01:00,07:15,06h 15m,412,31 Seats available,"3.5
33",Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada
APSRTC - 35266,VENNELA (A.C. SLEEPER),01:25,07:10,05h 45m,781,14 Seats available,"3.9
25",Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada
,,,,,,,,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada
,,,,,,,,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada
,,,,,,,,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada
,,,,,,,,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada
,,,,,,,,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada
,,,,,,,,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada
,,,,,,,,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada
Siri Tours and Travels,A/C Seater / Sleeper (2+1),18:30,00:30,06h 00m,670,32 Seats available,"3.0
7",Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam
Puri Jagannadh Tours And Travels,Non A/C Seater / Sleeper (2+1),19:05,02:30,07h 25m,555,36 Seats available,3.9,Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam
Sri Krishna Travels,Non A/C Seater / Sleeper (2+1),19:30,23:30,04h 00m,800,29 Seats available,"3.8
9",Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam
SBS Tours and Travels,,20:30,03:15,06h 45m,499,,New,Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam
,,,,,,,,Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam
TGSRTC - 9508,Rajdhani (AC Semi Sleeper 2+2),01:20,04:35,03h 15m,343,26 Seats available,3.7,Karimnagar to Hyderabad,https://www.redbus.in/bus-tickets/karimnagar-to-hyderabad
TGSRTC - 7475,Super Luxury (Non AC Seater 2+2 Push Back),01:40,04:40,03h 00m,283,27 Seats available,3.7,Karimnagar to Hyderabad,https://www.redbus.in/bus-tickets/karimnagar-to-hyderabad
TGSRTC - 7150,RAJDHANI (A.C. Semi Sleeper),01:45,04:45,03h 00m,343,30 Seats available,3.7,Karimnagar to Hyderabad,https://www.redbus.in/bus-tickets/karimnagar-to-hyderabad
TGSRTC - 7375,Super Luxury (Non AC Seater 2+2 Push Back),01:55,04:55,03h 00m,283,23 Seats available,"3.9
4",Karimnagar to Hyderabad,https://www.redbus.in/bus-tickets/karimnagar-to-hyderabad
TGSRTC - 7003,Super Luxury (Non AC Seater 2+2 Push Back),02:00,05:00,03h 00m,283,36 Seats available,3.7,Karimnagar to Hyderabad,https://www.redbus.in/bus-tickets/karimnagar-to-hyderabad
